ID,지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로,외부대출여부,대출도서 전용프로그램 여부,전용프로그램 공공도서관 연계 여부,연간 도서대출 권수,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터,연간 총 이용자 수,1일 평균 이용자 수,회원등록자 수,총직원,총봉사자,자격증직원,자격증봉사자,도서구입비,인건비,운영비,합계,실시여부,독서프로수,독서프로실시횟수,독서프로참가자수,문화프로수,문화프로실시횟수,문화프로참가자수
24,강원,남원주작은도서관,0,0,1,0,1466000,100,0,0, , ,0,150,2000,0,0,40,10,1,1,0,100,5,0,0,0,0,0,500000,0,1500000,2000000,1,1,5,70,0,0,0
25,강원,너울문화사랑방,0,0,0,0,0,0,0,1,0,0,60,80,3280,0,0,70,20,1,1,0,365,1,0,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0
26,강원,노엘문고,0,0,1,0,10000000,0,0,1,0,0,500,108,10108,2,7,39,8,1,1,0,1800,5,200,1,5,0,0,2000000,0,10000000,12000000,0,0,0,0,0,0,0
27,강원,눈마을작은도서관,1,1,1,2,40000000,30,0,1,1,1,11000,350,13000,3,3,220,50,1,3,2,9390,30,490,2,5,0,0,4100000,19500000,29200000,52800000,1,2,12,62,3,6,125
28,강원,느릅마을작은도서관,0,0,1,0,3000000,300,0,1,0,0,100,300,4817,5,1,146,20,1,1,6,2088,8,0,0,0,0,0,3000000,0,0,3000000,1,0,0,0,1,10,50
29,강원,느티나무도서관,0,0,1,0,750000,279,1,1,0,0,5600,300,6800,0,2,129,45,1,1,0,4015,11,0,0,8,0,0,1200000,0,2000000,3200000,1,2,2,350,1,1,60
30,강원,늘푸른문고,0,0,0,0,0,0,0,0, , ,0,100,3000,0,0,40,24,1,1,0,10000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,강원,다니엘 작은도서관,0,1,0,0,0,0,0,1,0,0,350,223,1223,1,1,66,13,1,1,5,1720,8,0,1,3,0,0,500000,0,1000000,1500000,0,0,0,0,0,0,0
32,강원,다솔도서관,0,0,1,0,1000000,0,0,0, , ,0,2900,4300,0,0,84,30,1,2,0,4695,15,0,1,1,1,0,0,0,0,0,1,2,20,200,0,0,0
33,강원,단계은행 작은도서관,0,0,0,0,0,0,0,1,0,0,6000,0,1700,0,0,237,60,1,4,10,3130,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,강원,달팽이도서관,0,1,1,3,0,408,2,1,1,1,7421,704,7737,0,7,48,28,1,1,1,9390,30,0,0,34,0,1,528000,100000,7398122,8026122,1,1,2,30,7,200,1000
35,강원,대우이안강릉타운작은도서관,0,0,0,0,0,0,0,0, , ,0,0,1800,0,0,49,16,0,0,0,2610,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,강원,대포마을문고,1,0,0,0,0,0,0,1,0,0,30,200,3000,50,50,52,10,1,1,1,783,3,0,1,1,2,1,300000,1200000,1500000,3000000,0,0,0,0,0,0,0
37,강원,동성마을문고,0,0,0,0,0,0,0,1,0,0,14600,0,2630,0,4,96,30,1,1,2,18250,50,0,1,4,0,0,4000000,0,15000000,19000000,1,3,312,6240,3,312,6240
38,강원,동점마을도서관,0,0,1,0,1000000,0,0,1,1,0,3000,0,2800,0,0,66,30,1,3,0,6003,23,0,3,0,1,0,0,0,0,0,1,3,30,320,0,0,0
39,강원,동해문화커뮤니티센터,0,0,0,0,0,0,0,1,0,0,240,100,1200,0,0,45,6,1,1,1,939,3,0,1,0,0,0,600000,0,0,600000,1,0,0,0,1,10,100
40,강원,동호동새힘새마을문고,0,0,0,0,0,0,0,0, , ,0,0,2000,0,1,82,30,1,1,1,11680,32,0,1,3,0,0,500000,0,2000000,2500000,1,1,52,1040,0,0,0
41,강원,두란노 작은도서관,0,0,0,0,0,0,0,1,0,0,100,0,1110,0,0,47,20,1,0,1,522,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
42,강원,두란노어린이도서관,0,0,0,0,0,0,0,1,1,0,700,18,4800,1,3,92,30,1,1,1,1566,6,280,1,2,0,0,187200,3600000,7200000,10987200,0,0,0,0,0,0,0
43,강원,두산위브,0,0,0,0,0,0,0,0, , ,0,0,2000,0,0,70,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,강원,뒤뚜르어린이도서관,0,0,1,3,5000000,491,0,1,1,0,3675,463,6680,0,5,117,32,1,1,0,6260,20,1084,0,8,0,0,912000,6500000,9388000,16800000,1,2,80,480,10,90,540
45,강원,등대작은도서관,1,1,0,0,0,0,0,1,1,1,16919,924,9756,0,8,165,54,1,2,3,21910,70,263,0,0,0,0,9510000,21500000,2000000,33010000,1,1,13,100,1,13,120
46,강원,뜨란채도서관,0,1,1,4,6279260,458,21,1,1,0,10458,1100,9060,0,0,126,24,1,1,0,4698,18,458,0,8,0,0,2000000,0,2090000,4090000,1,5,487,720,6,6,200
47,강원,로뎀나무문고,0,0,0,0,0,0,0,1,1,0,1440,225,2254,4,4,105,26,1,1,0,313,1,0,0,5,0,0,2300000,3000000,1200000,6500000,1,1,4,12,2,16,35
48,강원,로하스강릉작은도서관,1,0,0,0,0,0,0,1,1,1,7790,589,17771,0,9,660,60,1,1,1,20440,56,3053,1,0,0,0,15470000,15000000,1000000,31470000,1,2,2,50,2,2,50
49,강원,마리서사작은도서관,0,0,1,0,0,0,0,0, , ,0,1500,3000,0,0,130,22,0,0,0,12520,40,0,1,0,0,0,4900000,4070000,0,8970000,0,0,0,0,0,0,0
50,강원,마실작은도서관,0,0,0,0,0,0,0,1,1,1,6412,1468,8438,0,0,150,30,1,1,3,12006,46,373,1,0,0,0,14000000,16000000,7000000,37000000,1,0,0,0,1,3,10
51,강원,만나문고,0,0,0,0,0,0,0,1,0,0,20,0,2000,0,2,75,15,1,2,3,10016,32,0,1,1,0,0,500000,0,1560000,2060000,1,1,36,836,2,68,1660
52,강원,명륜나눔도서관,0,0,1,0,3782200,0,0,1,1,0,1628,512,5760,0,0,35,18,1,1,3,2191,7,0,1,0,0,0,2213490,0,1568710,3782200,0,0,0,0,0,0,0
53,강원,무릉작은도서관,1,1,0,0,0,0,0,1,1,1,20706,0,11528,0,4,169,70,1,1,3,23475,75,183,0,0,0,0,4000000,21500000,2000000,27500000,1,1,13,300,1,13,310
54,강원,무실주공1단지 작은도서관,0,0,0,0,0,0,0,0, , ,0,30,1700,4,18,57,20,0,0,0,365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,강원,무지개 작은도서관,0,0,0,0,0,0,0,0, , ,0,1700,1900,3,3,86,8,0,0,0,90,5,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0
56,강원,묵호동새마을문고,0,0,0,0,0,0,0,1,0,0,100,0,3000,0,4,66,20,1,1,1,7199,23,0,1,2,0,0,1000000,0,2400000,3400000,1,1,52,1040,2,104,2080
57,강원,문래문고,0,0,1,0,0,100,0,1,0,0,20,100,1000,0,0,56,20,0,0,0,2880,8,0,0,2,0,0,0,0,4000000,4000000,0,0,0,0,0,0,0
58,강원,문화작은도서관,1,0,0,0,0,0,0,1,1,1,21455,1672,17117,0,6,677,140,1,2,9,4382,147,0,2,0,0,0,10736000,30000000,1000000,41736000,1,0,0,0,3,10,100
59,강원,미동문고,0,0,1,0,1000000,0,0,1,1,0,2400,100,3600,0,0,103,50,1,2,0,4695,15,0,0,0,0,0,0,0,0,0,1,5,40,800,0,0,0
60,강원,미래작은도서관,0,0,0,0,0,0,0,0, , ,0,0,1700,2,0,50,40,0,0,0,626,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
61,강원,미로지역 행복도서관 ,0,0,0,0,0,0,0,0, , ,0,20,1200,0,0,56,20,1,1,0,1800,5,0,0,0,0,0,200000,0,0,200000,0,0,0,0,0,0,0
62,강원,민들레도서관,0,0,0,0,0,0,0,0, , ,0,57,2000,5,0,75,20,1,2,0,3130,10,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
63,강원,민토,0,1,1,0,0,100,0,1,0,0,3650,100,3500,2,5,88,35,1,1,0,7300,20,0,1,5,0,0,0,0,0,0,1,2,24,480,1,4,200
64,강원,반곡벽산블루밍도서관,0,0,0,0,0,0,0,0, , ,0,37,1500,0,0,40,12,0,0,0,3650,10,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
65,강원,반곡아이파크 작은도서관,0,0,0,0,0,0,0,0, , ,0,13,1252,0,1,207,30,1,1,0,2191,7,0,0,0,0,0,1000000,7000000,0,8000000,0,0,0,0,0,0,0
66,강원,반석작은도서관,0,0,0,0,0,0,0,1,0,0,100,200,4000,0,0,33,16,1,1,0,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,강원,반올림도서관,0,0,0,0,0,0,0,1,1,0,3600,413,4252,0,0,139,50,1,0,1,4015,11,716,0,7,0,0,0,0,200000,200000,1,7,7,140,7,7,140
68,강원,발한동새마을문고,0,0,0,0,0,0,0,1,0,0,500,0,2000,0,10,100,24,1,1,4,7300,20,0,1,1,0,0,1500000,0,6000000,7500000,1,2,104,2080,2,104,2080
69,강원,백담솔방울도서관,0,0,1,0,3000000,0,0,0, , ,0,500,5500,0,0,99,100,1,1,0,3000,10,0,0,3,0,0,3000000,0,0,3000000,0,0,0,0,0,0,0
70,강원,봄빛작은도서관,0,0,0,0,0,0,0,1,1,0,100,0,2950,0,0,82,20,0,0,0,7830,30,0,2,0,0,0,0,0,0,0,1,1,52,988,0,0,0
71,강원,봉산샘터 작은도서관,0,0,1,0,2800000,0,0,1,0,0,300,320,7200,1,3,95,30,1,1,1,8395,23,0,1,5,0,0,1000000,0,1000000,2000000,1,2,4,80,1,5,100
72,강원,북삼동 새마을문고,0,0,0,0,0,0,0,1,0,0,50,0,3000,0,3,82,60,1,2,1,9125,25,0,1,1,0,0,700000,0,4000000,4700000,1,3,156,2340,3,156,2340
73,강원,빨간머리앤의작은책마을,0,0,0,0,0,0,0,1,0,0,2000,30,3000,0,10,161,10,1,0,3,2190,6,0,1,0,0,0,500000,0,6000000,6500000,1,0,0,0,2,23,15
74,강원,쁘레네작은도서관 별찌,0,0,0,0,0,0,0,0, , ,0,300,2748,0,0,115,67,0,0,0,3130,10,0,0,7,0,1,0,0,13000000,13000000,1,8,48,32,6,20,30
75,강원,쁘레네작은도서관별찌,0,0,0,0,0,0,0,1,0,0,80,500,2500,1,3,114,35,1,1,0,10955,35,0,0,27,0,0,200000,0,9000000,9200000,1,9,81,200,15,40,200
76,강원,쁘레네작은도서관별찌(명륜점),0,0,0,0,0,0,0,1,0,0,110,400,2300,0,0,125,23,1,1,0,1305,5,0,3,0,0,0,1300000,8400000,15000000,24700000,1,3,4,60,1,3,16
77,강원,사내작은도서관,0,0,0,0,0,0,0,1,0,0,130,0,4000,0,0,62,10,1,1,0,730,2,0,1,0,0,0,3000000,0,0,3000000,0,0,0,0,0,0,0
78,강원,삼흥마을문고,0,0,0,0,0,0,0,1,0,0,2080,0,1500,0,2,82,20,1,1,0,13146,42,0,1,1,0,0,100000,0,1300000,1400000,1,1,10,60,1,12,60
79,강원,상록작은도서관,0,0,1,0,0,256,2,1,1,1,360,140,4300,4,3,100,30,1,1,3,6525,25,50,1,3,0,0,2500000,6000000,3000000,11500000,1,2,25,250,1,10,120
80,강원,새능력작은도서관,0,0,0,0,0,0,0,1,0,0,10,50,2000,4,5,52,18,1,1,0,1565,5,0,2,1,1,1,100000,0,100000,200000,1,0,0,0,1,10,10
81,강원,새마을작은도서관( 구 그린새마을열린문고),0,0,1,2,0,106,0,1,0,0,390,106,3648,1,11,99,16,1,1,1,261,1,300,0,11,0,0,500000,0,2678551,3178551,1,1,1,400,1,1,40
82,강원,새문문고,0,0,1,0,0,168,0,1,0,0,500,250,2500,0,0,50,8,0,0,0,1305,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
