지역,도서관명,도서구입비,인건비,운영비,합계
울산 중구,신월도서관,5236700,0,0,5236700
울산 남구,신정2동 마을문고,5000000,0,0,5000000
울산 남구,신정3동 마을문고,5000000,0,0,5000000
울산 남구,신정4동 마을문고,5500000,0,0,5500000
울산 울주군,아너스빌,480000,0,1320000,1800000
울산 북구,아름드리작은도서관,2317800,3000000,13140240,18458040
울산 동구,아우름쉼터 북카페,0,0,0,0
울산 남구,야음롯데캐슬도서관,800000,0,0,800000
울산 북구,양정작은도서관,3000000,6000000,12000000,21000000
울산 북구,양정힐스테이트2차문고,0,0,0,0
울산 중구,어깨동무도서관,0,0,0,0
울산 울주군,어울림,2000000,960000,1440000,4400000
울산 중구,에일린의뜰문고,0,0,0,0
울산 북구,엠코가온누리작은도서관,3000000,6000000,2400000,11400000
울산 울주군,여울목,4300000,0,1200000,5500000
울산 울주군,열린,2000000,700000,0,2700000
울산 북구,열린어린이문고,200000,0,150000,350000
울산 중구,옥골샘작은도서관,1596640,14783130,19540000,35919770
울산 남구,옥현주공1단지책마루,600000,0,0,600000
울산 남구,옥현주공2단지문고,800000,0,0,800000
울산 남구,우리들만의공간,800000,0,0,800000
울산 중구,우암작은도서관,3000000,0,2520000,5520000
울산 중구,우정아이파크작은도서관,400000,0,7200000,7600000
울산 남구,울산감리교회문고,600000,0,0,600000
울산 울주군,웅촌,3000000,15017360,1905710,19923070
울산 북구,월드시티1 작은도서관,120000,0,120000,240000
울산 북구,월드시티2 작은도서관,2885000,0,0,2885000
울산 남구,월봉도서관,10000000,66629000,36270000,112899000
울산 중구,유곡푸르지오책마루도서관,0,0,0,0
울산 울주군,은행나무,3000000,0,400000,3400000
울산 동구,작은도서관 더불어숲,1550000,16320000,52800000,70670000
울산 중구,작은도서관 책마을,1956000,16000000,9180000,27136000
울산 남구,재밌는도서관,600000,0,0,600000
울산 동구,전하작은도서관,22340000,45379000,26914000,94633000
울산 북구,정자작은도서관,2220770,0,0,2220770
울산 중구,중부 우리들 작은도서관,4000000,5000000,12000000,21000000
울산 울주군,지혜샘터,1800000,0,2700000,4500000
울산 북구,책가방작은도서관,2700000,6000000,2400000,11100000
울산 북구,책놀이터작은도서관,2872500,6000000,3600000,12472500
울산 북구,책누리작은도서관,3000000,6000000,2400000,11400000
울산 북구,책마루작은도서관,4855520,6000000,2400000,13255520
울산 북구,책사랑작은도서관,2529140,6000000,3000000,11529140
울산 중구,책의숲,1500000,0,0,1500000
울산 울주군,청운,2000000,3000000,2040000,7040000
울산 동구,초록우산북카페,3000000,0,707290,3707290
울산 동구,크레파스 작은도서관,1000000,6000000,500000,7500000
울산 울주군,큰꿈,2000000,0,750000,2750000
울산 동구,큰빛우리들문고,0,0,0,0
울산 중구,태화루도서관,17187100,29035320,20940000,67162420
울산 중구,페다고지,1200000,0,1500000,2700000
울산 울주군,푸르지오,6800000,1200000,5520000,13520000
울산 동구,푸르지오작은도서관,0,19600000,654450,20254450
울산 울주군,푸른,2700000,0,900000,3600000
울산 남구,푸른도서관,800000,0,0,800000
울산 북구,푸른작은도서관,3898560,6000000,4800000,14698560
울산 중구,학성작은도서관,0,0,0,0
울산 울주군,한누리,3000000,0,0,3000000
울산 동구,한마음도서관,850,92000,91500,184350
울산 중구,함월도서관,99491390,11858080,8560000,119909470
울산 동구,해누리문고,1000000,1000000,0,2000000
울산 울주군,해보리,2000000,0,720000,2720000
울산 북구,해솔작은도서관,3500000,0,100000,3600000
울산 울주군,해오름,3000000,17260000,2000000,22260000
울산 중구,해오름작은도서관,0,0,0,0
울산 울주군,햇빛,2000000,0,0,2000000
울산 북구,햇살작은도서관,2883180,6000000,3600000,12483180
울산 울주군,호반숲속,2000000,0,0,2000000
울산 북구,화봉휴먼시아 문화공간,3200000,0,1800000,5000000
울산 동구,화정작은도서관,22340000,22689500,24918000,69947500
울산 울주군,황금똥,3000000,0,9600000,12600000
울산 동구,휴(休) Book 사랑방,1000000,0,0,1000000
울산 남구,휴(休)작은도서관,800000,0,0,800000
인천 서구,가재울 작은도서관,0,9600000,0,9600000
인천 서구,가정골 북카페,2000000,3960000,1000000,6960000
인천 부평구,갈산밀알도서관,1800000,8280000,913000,10993000
인천 서구,거북골 작은도서관,0,8400000,0,8400000
인천 서구,건지골 마을문고,5000000,0,0,5000000
인천 서구,검4랑 꿈도서관,5000000,5280000,0,10280000
인천 서구,검단3동 작은도서관,5000000,0,0,5000000
인천 동구,고맙습니다솔향기작은도서관,800000,0,2500000,3300000
인천 계양구,고양골책둥지도서관,2500000,6000000,0,8500000
인천 동구,골목작은도서관,1250000,6000000,2000000,9250000
인천 남동구,광성독서클럽,1000000,500000,0,1500000
인천 강화군,교동화개작은도서관,3996700,0,443210,4439910
인천 남동구,그루터기도서관,6000000,0,3600000,9600000
인천 연수구,글담 작은도서관,1679819,0,4328697,6008516
인천 연수구,글마루,3000000,0,1400000,4400000
인천 부평구,글마루도서관,0,13800000,2911000,16711000
인천 서구,금곡하나아파트 문고,0,0,0,0
인천 계양구,길벗어린이도서관,5065400,0,20769222,25834622
인천 강화군,길상면 작은도서관,4000000,13800000,500000,18300000
인천 남동구,"길위의 꿈, 여행인문학도서관",12000000,20000000,12000000,44000000
인천 계양구,까치말도서관,0,8085000,0,8085000
인천 계양구,꾸메땅 작은도서관,0,1100000,500000,1600000
인천 서구,꿈꾸는 나무 도서관 ,600000,0,50000,650000
인천 남동구,꿈꾸는 도서관,500000,0,200000,700000
인천 남구,꿈꾸는 문고,150000,0,6000000,6150000
