지역,도서관명,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터
강원 원주시,예꿈터 작은 도서관,100,36,있다,1,0
강원 춘천시,오스타작은도서관,66,15,있다,1,0
강원 강릉시,옥거리작은도서관,140,30,있다,1,3
강원 동해시,우리들 작은도서관,86,15,있다,2,1
강원 횡성군,우천면 매화작은도서관,91,15,있다,1,1
강원 강릉시,웅진다책문고,50,50,없다,0,0
강원 동해시,웅진다책문고,66,50,있다,3,0
강원 원주시,원주YMCA아름드리도서관,45,10,있다,1,0
강원 원주시,원주단관영어도서관,69,25,있다,1,0
강원 강릉시,월대산작은도서관,218,36,있다,1,4
강원 원주시,은혜어린이도서관,83,10,있다,1,1
강원 동해시,이도작은도서관,180,34,있다,1,3
강원 태백시,작은도서관 꿈,81,30,있다,2,0
강원 춘천시,작은도서관별찌(2012년개관),54,30,있다,1,0
강원 태백시,장성문고,81,20,있다,2,0
강원 정선군,정선꿈꾸는도서관,49,12,있다,1,0
강원 고성군,죽왕문고,46,10,없다,0,0
강원 홍천군,진리도서관,99,50,있다,1,0
강원 원주시,참꽃작은도서관,66,15,있다,0,1
강원 춘천시,책날개어린이도서관,69,10,있다,1,0
강원 춘천시,책드림도서관,137,17,있다,1,1
강원 동해시,천곡동 새마을문고,145,50,있다,1,2
강원 양양군,천복작은도서관,165,10,없다,0,0
강원 고성군,천진문고,132,30,없다,0,0
강원 태백시,철암도서관,264,30,있다,1,0
강원 원주시,청소년 문고,33,25,없다,0,0
강원 횡성군,청일면 버들골작은도서관,165,38,있다,1,1
강원 강릉시,초당작은도서관,224,50,있다,1,3
강원 동해시,초록도서관,122,40,있다,1,0
강원 춘천시,춘천YMCA푸름이도서관,80,22,있다,1,0
강원 원주시,큰사랑문고,50,60,있다,1,1
강원 정선군,탄광촌 생명의 양식문고,120,20,있다,1,0
강원 태백시,태백 인표어린이도서관,134,60,있다,1,0
강원 원주시,태장도서관,524,64,있다,3,9
강원 강릉시,포남어울림작은도서관,483,78,있다,2,10
강원 원주시,푸른초장 작은도관,260,6,있다,1,1
강원 화천군,하남옹달샘작은도서관,108,15,없다,0,0
강원 홍천군,하늘마루 작은도서관,83,33,있다,1,1
강원 강릉시,하슬라작은도서관,155,40,있다,1,1
강원 태백시,한빛사랑문고,105,40,있다,1,0
강원 강릉시,한송작은도서관,99,14,있다,1,0
강원 양양군,해누리글터 작은도서관,70,15,있다,0,1
강원 태백시,햇살 도서관,200,30,있다,3,0
강원 원주시,햇살작은도서관,36,16,있다,1,1
강원 평창군,행복한 문고,82,28,있다,1,1
강원 태백시,행복한도서관,91,25,있다,3,0
강원 횡성군,횡성느티나무작은도서관,152,46,있다,1,2
강원 원주시,흥업작은도서관,36,8,없다,0,0
강원 홍천군,희망 숲 작은도서관,58,40,있다,12,5
강원 태백시,희망의문고,168,107,있다,2,0
경기 파주시,(사)행복한아침독서 책마을도서관,94,10,있다,1,0
경기 성남시,1318하랑작은도서관,49,21,있다,1,0
경기 고양시,7단지 숲속도서관,40,19,있다,1,0
경기 양주시,BOOK소리작은도서관,95,15,있다,1,0
경기 고양시,Book Tree(북트리),109,20,있다,2,2
경기 남양주시,ESR영어작은도서관,216,40,있다,1,2
경기 의정부시,HAHA Asian Library,89,20,없다,0,0
경기 안산시,HJ제니스작은도서관,58,10,있다,0,1
경기 오산시,KCC스위첸아파트 작은도서관,44,9,있다,1,0
경기 군포시,LG신산본자이2차아파트문고,76,12,있다,0,3
경기 평택시,THE기쁜어린이도서관,330,120,있다,2,1
경기 양주시,TS푸른솔작은도서관,66,12,있다,2,0
경기 남양주시,가곡힘찬문고,33,6,있다,1,0
경기 의정부시,가능1동작은도서관,77,30,있다,1,1
경기 의정부시,가능2동작은도서관,51,8,있다,1,1
경기 의정부시,가능3동작은도서관,33,12,있다,1,1
경기 김포시,가온누리 작은도서관,163,36,있다,1,5
경기 성남시,가온누리작은도서관,84,35,있다,1,1
경기 남양주시,가운4단지문고,44,12,있다,1,0
경기 남양주시,가운휴먼시아5단지 도서관,33,10,있다,1,0
경기 고양시,가좌대우푸르지오,63,15,있다,1,0
경기 화성시,갈담 작은도서관,126,29,있다,4,2
경기 성남시,갈보리 작은도서관,72,24,있다,1,0
경기 시흥시,감나무골작은도서관,99,13,있다,1,3
경기 남양주시,강변교회 어린이도서관,40,24,없다,0,0
경기 남양주시,강변해태아파트 도서관,33,10,없다,0,0
경기 양평군,강상작은도서관 ,140,23,있다,1,2
경기 고양시,강아지똥 어린이도서관,82,35,있다,1,1
경기 고양시,강촌공원 5분걸음 예쁜도서관,33,8,있다,1,0
경기 양평군,강하 작은 도서관,179,22,있다,1,1
경기 양주시,개척병영작은도서관,160,60,있다,0,1
경기 파주시,거북작은도서관,178,54,있다,1,0
