지역,도서관명,건물면적,열람석,PC 유무,관리자용 컴퓨터,이용자용 컴퓨터
경기 안산시,초지작은도서관,280,40,있다,2,2
경기 용인시,초코도서관,121,10,있다,1,0
경기 의정부시,초하여행도서관,115,22,있다,1,2
경기 부천시,춘의마을작은도서관 상상놀이터,107,40,있다,1,1
경기 성남시,춤추는무지개나무작은도서관,249,25,있다,2,1
경기 김포시,춤추는책 어린이도서관,39,15,있다,1,0
경기 수원시,칠보마을작은도서관,84,15,있다,1,0
경기 수원시,칠보샘도서관,110,24,있다,1,0
경기 용인시,코아루나눔터도서관,80,30,있다,1,0
경기 안성시,코아루문고,110,28,있다,1,0
경기 용인시,콩나물도서관,39,12,있다,1,0
경기 군포시,큰꿈어린이도서관,80,25,있다,1,0
경기 안양시,큰나무,140,60,있다,1,0
경기 김포시,큰나무도서관,83,30,없다,0,0
경기 시흥시,큰맘작은도서관,59,12,있다,1,0
경기 수원시,큰바위작은도서관,198,50,있다,2,2
경기 파주시,큰빛어린이문고,96,30,있다,1,1
경기 화성시,큰샘도서관,120,30,있다,1,1
경기 수원시,큰숲작은도서관,45,8,있다,1,0
경기 안산시,킹콩도서관,82,12,있다,1,0
경기 고양시,탄현 작은도서관,168,38,있다,1,2
경기 파주시,탄현작은도서관,84,25,있다,1,1
경기 오산시,탈무드 도서관,115,25,있다,1,0
경기 포천시,태봉작은도서관,131,24,있다,1,0
경기 안성시,태산도서관,77,30,있다,2,2
경기 수원시,태장동 새마을 문고,54,12,있다,1,0
경기 성남시,태평1동작은도서관,81,23,있다,1,1
경기 성남시,태평3동작은도서관,100,14,있다,1,0
경기 성남시,태평동작은도서관,179,100,있다,1,1
경기 오산시,토라 도서관,33,6,없다,0,0
경기 군포시,토리작은도서관,84,14,있다,1,0
경기 평택시,통미마을작은도서관,86,22,있다,1,0
경기 남양주시,퇴계원사랑도서관,66,8,있다,1,0
경기 광주시,퇴촌작은도서관,164,19,있다,2,3
경기 부천시,파랑새 어린이문고,96,30,있다,1,0
경기 김포시,파랑새작은도서관,33,6,없다,0,0
경기 수원시,파장동 새마을 문고,79,43,있다,1,0
경기 김포시,파크드림작은도서관,65,40,있다,1,0
경기 파주시,파평작은도서관,90,20,있다,1,0
경기 성남시,판교LIG 작은도서관,152,36,있다,0,1
경기 안산시,팔곡늘푸른작은도서관,50,10,있다,1,1
경기 안양시,팔복꿈터,50,15,없다,0,0
경기 남양주시,패밀리도서관,99,12,있다,1,0
경기 부천시,팰리스카운티아파트 작은도서관,82,34,있다,1,0
경기 남양주시,평강도서관,105,10,있다,1,0
경기 남양주시,평내마을주공아파트 꿈꾸는도서관,33,12,있다,1,0
경기 남양주시,평내영어도서관,214,50,있다,1,3
경기 수원시,평동새마을문고,99,20,있다,1,0
경기 광명시,평생학습원 청개구리도서관,216,26,있다,4,2
경기 시흥시,평안골작은도서관,77,20,있다,2,0
경기 안양시,평안동주민센타,33,6,없다,0,0
경기 부천시,평화비전작은도서관,59,20,있다,1,0
경기 안산시,평화의 문고,50,30,있다,1,3
경기 여주시,평화작은도서관,99,24,있다,1,0
경기 화성시,포도나무 작은도서관,70,30,있다,1,1
경기 화성시,포스코반올림 작은도서관,101,56,있다,2,0
경기 평택시,포승작은도서관,267,38,있다,2,7
경기 의왕시,포은문고,33,20,있다,0,1
경기 의왕시,포일숲속마을1단지도서관,90,30,있다,1,0
경기 부천시,푸르지오2차작은도서관,95,30,있다,1,0
경기 용인시,푸르지오푸른도서관,295,76,있다,1,0
경기 화성시,푸른꿈작은도서관,165,50,있다,1,0
경기 양주시,푸른꿈작은도서관,96,30,있다,1,0
경기 용인시,푸른꿈청소년도서관,95,60,있다,3,1
경기 파주시,푸른도서관,100,30,있다,1,5
경기 고양시,푸른마을 열린도서실,52,28,있다,1,0
경기 고양시,푸른마을 작은도서관,142,26,있다,1,1
경기 성남시,푸른마을작은도서관,63,20,있다,0,2
경기 성남시,푸른솔작은도서관,113,10,있다,1,1
경기 성남시,푸른숲 작은도서관,67,25,있다,0,1
경기 남양주시,푸른숲문고,40,40,있다,2,1
경기 안양시,푸른어린이,133,40,있다,2,1
경기 성남시,푸른어린이작은도서관,79,20,있다,2,1
경기 양주시,푸른작은도서관,97,28,있다,1,0
경기 화성시,푸른책나라 작은도서관,139,20,있다,1,0
경기 부천시,풍금이 있는 문고,43,10,있다,1,0
경기 의왕시,풍림목련아파트문고,97,13,있다,1,0
경기 남양주시,풍림숲속의작은도서관,62,20,있다,1,0
경기 김포시,풍무자이글고운작은도서관,102,8,없다,0,0
경기 양주시,풍성한작은도서관,56,15,없다,0,0
경기 고양시,프란시스 쉐퍼기념문고,52,9,없다,0,0
경기 안양시,필승 작은도서관,82,20,없다,0,0
경기 파주시,하늘꿈도서관,33,10,있다,1,0
경기 시흥시,하늘꿈작은도서관,46,39,있다,1,1
경기 화성시,하늘꿈터도서관,39,20,없다,0,0
경기 남양주시,하늘누리작은도서관,45,8,있다,2,2
경기 성남시,하늘달팽이작은도서관,146,30,있다,2,1
경기 수원시,하늘도서관,87,10,있다,1,1
경기 고양시,하늘도서관,43,16,있다,1,0
경기 수원시,하늘땅 도서관,201,80,있다,2,9
경기 고양시,하늘마을 주공5단지문고,131,37,있다,1,0
경기 안성시,하늘마음작은도서관,59,15,있다,1,0
경기 고양시,하늘벗 도서관,36,13,있다,1,2
경기 화성시,하늘빛 작은도서관,126,60,있다,2,0
경기 고양시,하늘빛도서관,56,19,있다,1,0
경기 남양주시,하늘빛문고,132,50,없다,0,0
경기 양주시,하늘빛작은도서관,50,25,있다,1,0
경기 파주시,하늘선 도서관,93,20,있다,1,1
경기 남양주시,하늘소 장난감 도서관,99,20,있다,1,0
경기 부천시,하늘이슬작은도서관,40,12,없다,0,0
경기 안산시,하늘작은도서관,35,6,없다,0,0
경기 시흥시,하늘정원,153,50,있다,1,3
경기 군포시,하늘정원 작은도서관,172,40,있다,1,0
경기 성남시,하늘창책마루작은도서관,95,30,있다,1,0
경기 광명시,하안4동 작은도서관,82,12,있다,1,0
경기 파주시,하얀초록 도서관,106,30,있다,1,1
경기 성남시,하은어린이작은도서관,132,30,있다,1,1
경기 연천군,학마을작은도서관,189,36,있다,1,3
경기 시흥시,학미숲작은도서관,208,40,있다,1,1
경기 김포시,한가람 작은도서관,91,30,있다,1,0
경기 시흥시,한가족문고,80,25,있다,1,0
경기 남양주시,한강 우성아파트도서관,49,15,있다,1,0
경기 파주시,한꿈작은도서관,69,15,있다,1,1
경기 성남시,한남작은도서관,100,30,있다,2,1
경기 남양주시,한내들작은도서관,33,12,있다,1,0
경기 남양주시,한라반딧불이도서관,129,40,있다,1,0
경기 파주시,한라비발디아파트,330,60,있다,1,1
경기 성남시,한림풀에버작은도서관,40,25,없다,0,0
경기 이천시,한마음작은도서관,93,28,있다,1,0
경기 용인시,한보라도서관,77,15,있다,1,0
경기 성남시,한빛 작은도서관,36,20,있다,1,1
경기 부천시,한사랑작은도서관,50,15,있다,1,1
경기 성남시,한솔 작은도서관,190,30,있다,2,5
경기 오산시,한솔솔파크 문고,37,12,없다,0,0
경기 이천시,한솔작은도서관,66,18,있다,0,1
경기 성남시,한솔작은도서관,190,30, ,0,0
경기 안양시,한숲,100,20,없다,0,0
경기 시흥시,한신아파트,81,20,있다,1,0
경기 안산시,한양새마을작은도서관,104,20,있다,1,0
경기 광주시,한우리 문고,231,18,있다,1,0
경기 성남시,한우리(태평4동)작은도서관,46,8,있다,0,1
경기 시흥시,한우리독서문화원,34,20,있다,1,1
경기 안양시,한울,198,60,있다,2,0
경기 이천시,한울림도서관,83,32,있다,2,0
경기 파주시,한울작은도서관,48,50,있다,1,1
경기 수원시,한울타리작은도서관,33,25,있다,1,0
경기 화성시,한일타운마을문고,153,20,있다,1,1
경기 의왕시,한진로즈힐아파트문고,34,20,있다,1,0
경기 파주시,한톨작은도서관,203,40,있다,1,0
경기 화성시,한화꿈에그린아파트도서관,252,15,있다,1,0
경기 남양주시,한화꿈에그린아파트문고,73,25,있다,1,0
경기 화성시,한화우림작은도서관,110,30,있다,1,1
경기 안산시,함박드림 새마을 작은도서관,69,30,있다,1,0
경기 시흥시,함현공원작은도서관,100,20,있다,1,1
경기 수원시,해늘작은도서관,400,52,있다,1,3
경기 수원시,해님달님작은도서관,212,30,있다,2,1
경기 양주시,해달별작은도서관,125,25,있다,1,0
경기 성남시,해담은푸그작은도서관,128,30,있다,1,0
경기 용인시,해든도서관,210,40,있다,1,0
경기 화성시,해뜰문고,224,27,있다,1,1
경기 용인시,해맑은문고,62,15,있다,1,0
경기 안산시,해맑음작은도서관,33,20,있다,1,0
경기 광명시,해모로 이연 작은도서관,36,12,있다,1,0
경기 용인시,해밀도서관,100,16,있다,2,1
경기 남양주시,해밀마을작은도서관,212,31,있다,2,1
경기 남양주시,해밀인스빌 꿈꾸는도서관,49,46,있다,1,0
경기 안양시,해성,82,14,있다,0,1
경기 하남시,해오름 작은도서관 ,102,25,있다,1,0
경기 용인시,해오름도서관,138,50,있다,2,1
경기 군포시,해오름문고,50,20,있다,1,0
경기 부천시,해오름작은도서관,66,20,있다,2,0
경기 성남시,해피드림 작은도서관,43,18,있다,1,1
경기 고양시,해피북문고,70,40,있다,1,0
경기 화성시,해피트리 작은도서관,75,30,없다,0,0
경기 고양시,햇빛21작은도서관,80,33,있다,1,2
경기 고양시,햇빛마을 작은도서관,75,30,있다,1,1
경기 화성시,햇살마루작은도서관,111,70,있다,1,2
경기 부천시,햇살이가득한도서관,209,29,있다,2,1
경기 수원시,행궁동 새마을문고,185,20,있다,1,0
경기 안성시,행복나눔 작은도서관,66,30,있다,3,4
경기 화성시,행복담은,270,47,있다,1,1
경기 파주시,행복동네도서관,33,10,있다,1,1
경기 부천시,행복듬book 작은도서관,68,24,있다,0,1
경기 화성시,행복한,39,16,있다,1,0
경기 고양시,행복한 도서관,90,25,없다,0,0
경기 부천시,행복한 도서관,87,20,있다,2,1
경기 파주시,행복한도서관,115,36,있다,1,0
경기 남양주시,행복한마을도서관,66,40,없다,0,0
경기 안산시,행복한마을작은도서관,116,16,있다,1,0
경기 성남시,행복한작은도서관,165,30,있다,1,0
경기 양주시,행복한작은도서관,89,15,있다,1,0
경기 부천시,향기나는작은도서관,35,8,있다,0,2
경기 용인시,향상어린이문고,92,30,있다,2,0
경기 안양시,향촌,46,12,있다,1,0
경기 이천시,헤븐영어작은도서관,43,20,있다,1,0
경기 용인시,현대 호롱마루 도서관,100,38,있다,2,1
경기 화성시,현대아이파크 어린이 작은 도서관,212,30,있다,1,1
경기 광명시,현대아파트 작은도서관,134,30,있다,1,1
경기 광명시,현진꿈꾸는 작은도서관,108,50,있다,1,0
경기 양주시,현진숲속작은도서관,92,20,있다,1,0
경기 파주시,혜윰도서관,117,20,있다,1,0
경기 안양시,호계1동주민센타,102,30,있다,0,1
경기 안양시,호계3동 주민센터,143,24,있다,0,1
경기 성남시,호도애작은도서관,231,65,있다,4,5
경기 용인시,호반두드림도서관,92,21,있다,3,0
경기 용인시,호반작은도서관,34,20,있다,1,0
경기 수원시,호반작은도서관,58,10,있다,1,0
경기 고양시,호수공원작은도서관,52,10,있다,1,1
경기 용인시,호수마을 월드문고,154,50,있다,1,0
경기 의정부시,호원1동작은도서관,77,21,있다,1,1
경기 남양주시,호평작은도서관,401,60,있다,3,1
경기 안양시,홈타운,72,12,있다,1,0
경기 남양주시,화도다문화도서관,82,8,있다,1,0
경기 남양주시,화도아띠랑작은도서관,150,20,있다,1,2
경기 수원시,화서1동 새마을 문고,99,15,있다,1,0
경기 수원시,화서2동 새마을문고,50,20,있다,1,0
경기 수원시,화서영광새마을문고,86,12,있다,1,0
경기 화성시,화성동부청소년도서관,40,36,있다,2,2
경기 고양시,화전작은도서관,100,25,있다,2,1
경기 수원시,황골작은도서관,161,20,있다,1,0
경기 가평군,횃불병영도서관,66,20,없다,0,0
경기 평택시,효성백년가약작은도서관,165,12,있다,1,0
경기 이천시,효양작은도서관,171,30,있다,1,0
경기 용인시,효천작은도서관,127,50,있다,1,0
경기 양주시,효촌작은도서관,132,12,있다,0,1
경기 파주시,휴먼빌샘터 작은도서관,138,42,있다,1,0
경기 화성시,휴먼빌아파트 작은도서관,74,18,있다,1,1
경기 의정부시,휴먼시아도서관,156,32,있다,1,1
경기 용인시,흥덕마을3단지 작은도서관,39,12,있다,1,0
경기 안양시,희망,100,45,없다,0,0
경기 의정부시,희망Library Center,44,16,있다,2,1
경기 파주시,희망도서관,87,20,있다,1,0
경기 성남시,희망등대작은도서관,99,23,있다,2,2
경기 안양시,희망세움,156,10,있다,1,0
경기 부천시,희망을 여는 작은도서관,143,12,있다,1,0
경기 성남시,희망작은도서관,33,16,있다,0,1
경기 이천시,희망작은도서관,72,40,있다,1,0
경기 광명시,희망작은도서관,50,20,있다,1,1
경기 양주시,희망작은도서관,120,12,있다,1,0
경기 시흥시,힐스테이트아파트 힐스그루터기,82,25,있다,1,0
경기 파주시,힐스테이트작은도서관,113,50,있다,1,0
경기 용인시,힐작은도서관,34,6,있다,1,0
경남 사천시,(사)한국문화교육진흥회 사천지부작은도서관,119,16,있다,2,0
경남 김해시,U.보라작은도서관,120,27,있다,1,1
경남 밀양시,가곡동작은도서관,36,16,있다,1,7
경남 양산시,가람휘작은도서관,46,12,있다,1,0
경남 합천군,가야아동센터작은도서관,98,40,있다,4,2
경남 합천군,가야작은도서관,124,21,있다,1,2
경남 창원시,가음정평생교육센터,355,47,있다,2,5
경남 거창군,가조면작은도서관,330,25,있다,1,0
경남 진주시,가좌3주공 작은도서관,56,30,있다,1,0
경남 진주시,가호동 새마을문고,33,10,있다,1,0
경남 의령군,갑을동산문고,66,20,없다,0,0
경남 진주시,강남동 새마을문고,46,9,없다,0,0
경남 양산시,강변마을작은도서관,41,58,있다,1,1
경남 거제시,거제면참새미작은도서관,110,36,있다,1,0
경남 양산시,경남아너스빌작은도서관,40,30,있다,1,0
경남 진주시,경남혁신 꿈꾸는 도서관,189,24,있다,0,1
경남 창녕군,고곡새마을문고,33,25,없다,0,0
경남 양산시,고맙습니다물구나무도서관,202,60,있다,2,0
경남 사천시,곤명 꿈나무 작은도서관,58,15,있다,1,0
경남 하동군,공감마루 작은도서관,100,100,있다,1,1
경남 합천군,관기문고,38,12,있다,0,1
경남 통영시,광도면새마을작은도서관,130,25,있다,1,0
경남 함양군,구세군사랑듬book작은도서관,33,10,있다,1,0
경남 창원시,구암1동 새마을문고,165,30,있다,1,0
경남 창원시,구암2동 새마을문고,85,30,있다,1,0
경남 양산시,글고은작은도서관,56,26,있다,1,1
경남 함안군,글누리도서관,161,40,있다,1,1
경남 김해시,글로벌영어도서관(서김해지부),247,30,있다,1,1
경남 양산시,글마루작은도서관,72,36,있다,2,0
경남 거제시,글밭 작은도서관 ,75,23,있다,1,2
경남 창원시,글벗나래 작은도서관,135,65,있다,4,4
경남 진주시,글샘누리 작은도서관,104,20,있다,1,0
경남 김해시,글혜윰작은도서관,124,28,있다,1,1
경남 진주시,금빛마을작은도서관,248,50,있다,3,2
경남 진주시,금산 아이파크 새마을 작은도서관,201,36,있다,1,1
경남 김해시,김해글로벗도서관,61,18,있다,2,2
경남 창원시,까르딘도서관,87,20,있다,2,1
경남 합천군,꿈꾸는 도서관,70,10,있다,1,0
경남 김해시,꿈꾸는숲속작은도서관,132,52,없다,0,0
경남 진주시,꿈아루도서관,179,25,있다,1,0
경남 창원시,꿈이있는 노블도서관,162,25,있다,1,0
경남 진주시,꿈이있는도서관,82,10,없다,0,0
경남 사천시,꿈크루작은도서관,145,145,있다,2,0
경남 의령군,꿈터문고,49,16,있다,1,3
경남 양산시,꿈터작은도서관,70,22,있다,2,0
경남 함안군,남경새마을문고,100,30,있다,1,0
경남 남해군,남면새마을문고,40,12,없다,0,0
경남 거제시,남부면 작은도서관,78,10,있다,2,2
경남 창원시,남산평생교육센터,250,40,있다,2,3
경남 창원시,남양평생교육센터,66,21,있다,2,4
경남 창녕군,남지중앙 작은도서관,57,26,있다,1,0
경남 창원시,내동평생교육센터,243,30,있다,2,4
경남 창원시,내서읍새마을문고,33,6,있다,1,1
경남 김해시,내외작은도서관,240,22,있다,2,2
경남 함양군,녹색대학문고,100,30,없다,0,0
경남 김해시,늘사랑주민도서관,66,12,있다,1,1
경남 창원시,늘푸른 도서관,165,23,있다,1,0
경남 하동군,늘푸른 작은도서관,139,30,있다,1,2
경남 밀양시,늘푸른도서관,80,12,있다,1,0
경남 창원시,늘푸른문고,75,30,없다,0,0
경남 양산시,다숲작은도서관,90,40,있다,1,0
경남 산청군,단계슬기문고,180,11,없다,0,0
경남 진주시,대곡면 새마을문고,40,16,있다,1,0
경남 산청군,대동강변타운 새마을 작은 도서관,68,24,있다,1,0
경남 창원시,대동다숲작은도서관,91,15,있다,1,0
경남 양산시,대동아파트작은도서관,109,30,있다,1,1
경남 양산시,대동이미지작은도서관,37,24,있다,1,0
경남 김해시,대동푸른뜰작은도서관,88,16,있다,2,1
경남 김해시,대동한마음 작은도서관,115,30,있다,1,1
경남 사천시,대방 작은도서관,67,20,있다,1,0
경남 창원시,대방그린빌마을도서관,86,30,있다,2,0
경남 창원시,대방평생교육센터,115,26,있다,2,4
경남 함안군,대산면 새마을 작은도서관,60,24,없다,0,0
경남 창원시,대산평생교육센터,318,84,있다,3,4
경남 양산시,대석햇살작은도서관,42,20,있다,1,0
경남 거제시,대아푸른솔아파트작은도서관,50,40,있다,1,0
경남 창원시,대원평생교육센터,362,32,있다,2,3
경남 김해시,대청로문고,119,20,있다,1,0
경남 김해시,대포천작은도서관,92,20,있다,2,0
경남 창녕군,대합새마을문고,33,10,없다,0,0
경남 창원시,더시티세븐자이도서관,162,54,있다,1,0
경남 거제시,덕산아내프리미엄아파트 작은도서관,142,34,있다,1,2
경남 김해시,덕산작은도서관,120,30,있다,1,1
경남 통영시,도산면새마을작은도서관,130,15,있다,1,0
경남 통영시,도천동새마을작은도서관,36,12,있다,1,0
경남 합천군,도토리와 친구들,132,60,있다,1,1
경남 사천시,동강아뜨리에작은도서관,60,15,있다,2,0
경남 양산시,동면극동작은도서관,46,40,있다,1,0
경남 진주시,동산도서관,33,12,없다,0,0
경남 양산시,동원로얄듀크작은도서관,132,40,있다,0,1
경남 창원시,동읍평생교육센터,144,20,있다,2,1
경남 진주시,동진주 어린이 작은 도서관,72,17,있다,1,0
경남 김해시,두란노작은도서관,82,40,있다,1,2
경남 진주시,두산위브글마루도서관,142,74,있다,1,0
경남 밀양시,들꽃 도서관,99,12,있다,1,1
경남 진주시,디딤돌,169,45,있다,3,10
경남 양산시,디딤돌작은도서관,179,50,있다,2,1
경남 창원시,디지털마을도서관,69,24,있다,1,0
경남 김해시,떡갈나무숲작은도서관,148,16,있다,1,1
경남 김해시,뜨란채작은도서관,111,20,있다,1,1
경남 사천시,리가 작은도서관,158,70,있다,1,0
경남 김해시,리첼작은도서관,195,30,있다,1,1
경남 진주시,마하어린이도서관,311,100,있다,1,2
경남 의령군,만산솥바위문고,132,20,있다,1,5
경남 함양군,맑은샘열린문고,49,20,있다,1,3
경남 진주시,망경한보아파트 새마을문고,60,16,있다,1,0
경남 함안군,메트로자이 작은도서관,132,24,있다,2,2
경남 창원시,명곡평생교육센터,181,20,있다,2,3
경남 창원시,명서1평생교육센터,286,30,있다,2,4
경남 창원시,명서2평생교육센터,250,30,있다,2,4
경남 거제시,모오리돌작은도서관,152,35,있다,1,1
경남 합천군,묘산중앙문고,33,30,있다,1,0
경남 남해군,무림도서관,113,15,있다,1,0
경남 밀양시,무안면 새마을문고,49,30,있다,1,0
경남 창원시,무학산블루밍작은도서관,175,40,있다,1,6
경남 창원시,문화동책사랑방작은도서관,55,10,있다,1,0
경남 진주시,미누마루도서관,36,20,있다,1,4
경남 양산시,미라주글사랑작은도서관,80,24,있다,2,0
경남 김해시,미래티움도서관,128,30,있다,1,1
경남 통영시,미수동새마을작은도서관,94,30,있다,1,0
경남 통영시,미수휴먼시아새마을작은도서관,87,30,있다,1,0
경남 남해군,미조등대지기도서관,79,25,있다,1,0
경남 남해군,민들레어린이도서관,33,10,있다,1,0
경남 함양군,밀알공부방문고,90,20,있다,1,6
경남 거제시,바람의 언덕작은도서관,66,10,있다,1,0
경남 양산시,반도유보라문고,103,30,있다,1,0
경남 창원시,반딧불이도서관,198,15,있다,1,3
경남 창원시,반림마을도서관,138,24,있다,2,0
경남 창원시,반월작은도서관,204,45,있다,1,0
경남 창원시,반지평생교육센터,102,20,있다,3,4
경남 양산시,백년가약작은도서관,288,84,있다,1,1
경남 사천시,벌리주공 푸른 작은도서관,240,28,있다,1,0
경남 합천군,보름달 문고,67,15,있다,3,1
경남 의령군,보천과채마을문고,66,20,있다,1,11
경남 창원시,봉곡평생교육센터,134,41,있다,3,2
경남 창원시,봉림평생교육센터,292,21,있다,2,2
경남 진주시,봉안동새마을문고,33,16,없다,0,0
경남 창원시,봉암동작은도서관,105,25,있다,1,3
경남 양산시,봉우별떨기작은도서관,126,40,있다,1,0
경남 통영시,봉평동새마을작은도서관,150,30,있다,1,0
경남 창녕군,부곡새마을문고,33,38,있다,1,0
경남 창원시,부림희망작은도서관,84,24,있다,1,2
경남 통영시,북신동새마을작은도서관,56,20,있다,1,0
경남 하동군,북천 남포 새마을문고,33,14,없다,0,0
경남 김해시,분성아이파크 작은도서관,125,15,있다,1,1
경남 김해시,불암동작은도서관,111,24,있다,1,1
경남 진주시,빛나는 혁신LH1단지도서관,77,12,있다,1,0
경남 의령군,사랑방문고,99,100,없다,0,0
경남 창원시,사림평생교육센터,664,45,있다,4,2
경남 진주시,사봉글사랑,49,24,없다,0,0
경남 사천시,사천함께하는 다문화도서관,97,15,있다,1,2
경남 창원시,사파동성마을도서관,96,24,있다,2,0
경남 창원시,사파평생교육센터),252,32,있다,2,4
경남 밀양시,산외면 문고,58,13,있다,0,1
경남 산청군,산청읍 새마을문고,33,20,없다,0,0
경남 합천군,삼가장터3.1광장도서관,41,20,있다,1,0
경남 김해시,삼계로얄작은도서관,135,15,있다,1,1
경남 김해시,삼계푸르지오작은도서관,157,50,있다,2,1
경남 양산시,삼성한마음작은도서관,127,40,있다,1,0
경남 창원시,삼익아파트마을도서관,40,30,있다,1,1
경남 사천시,삼한노인대학 작은도서관,158,50,있다,1,0
경남 창원시,상곡 어울림 작은 도서관,188,33,있다,2,1
경남 창원시,상남평생교육센터,75,18,있다,2,2
경남 진주시,상대1동 새마을문고 현대분소,150,45,없다,0,0
경남 진주시,상대1동 열린 작은도서관,46,20,없다,0,0
경남 진주시,상대2동새마을문고,34,8,있다,1,0
경남 진주시,상대한보 아파트 작은도서관,70,20,없다,0,0
경남 합천군,상록농촌문화도서관,66,20,있다,1,1
경남 진주시,상봉동 봉원 새마을 문고,33,6,없다,0,0
경남 진주시,상봉동동2 새마을문고,33,6,없다,0,0
경남 진주시,상봉동새마을작은도서관,49,25,없다,0,0
경남 진주시,상봉봉동자율방범대 새마을문고,42,20,없다,0,0
경남 진주시,상평동 새마을작은도서관,43,24,없다,0,0
경남 진주시,상평동일스위트혜윰문고,74,30,있다,1,0
경남 함안군,새마을문고 동신아파트 작은도서관,35,15,없다,0,0
경남 거제시,새마을문고 작은도서관,274,20,없다,0,0
경남 창녕군,새마을문고 작은도서관,33,10,있다,1,0
경남 의령군,새마을문고센터,165,40,있다,1,0
경남 남해군,새마을문고현대아파트도서관,99,8,있다,1,0
경남 거창군,새마을시범문고,33,16,있다,1,0
경남 창원시,새순어린이도서관,125,40,있다,1,0
경남 통영시,새싹작은도서관,72,20,없다,0,0
경남 통영시,새통영작은도서관,36,16,없다,0,0
경남 합천군,샛별도서관,90,30,있다,1,0
경남 사천시,생각을 키우는 작은 도서관,87,40,있다,1,0
경남 김해시,생각이크는작은도서관,118,16,있다,1,1
경남 산청군,생초면 새마을문고,33,16,없다,0,0
경남 함양군,서하면새마을문고,83,15,있다,1,0
경남 김해시,석봉마을작은도서관,121,30,있다,1,1
경남 창원시,석전2동 새마을문고,66,10,있다,1,0
경남 산청군,선비마을 작은도서관 ,69,12,있다,1,0
경남 함안군,성내 그루터기 작은도서관,99,8,있다,1,2
경남 창녕군,성산면 새마을문고,33,10,있다,1,0
경남 거제시,성은 작은도서관,93,6,있다,1,1
경남 창원시,성주마을도서관,211,33,있다,2,5
경남 창원시,소계평생교육센터,230,22,있다,2,4
경남 김해시,소리작은도서관,255,18,있다,2,2
경남 양산시,소주동작은도서관,49,20,있다,1,0
경남 사천시,송보작은도서관,264,20,있다,1,3
경남 함양군,수동면새마을문고,66,15,없다,0,0
경남 함안군,수림 작은도서관,49,10,있다,1,0
경남 창원시,숲속마을도서관,107,20,있다,2,0
경남 남해군,숲속작은도서관,66,12,있다,1,0
경남 사천시,시민문화센터 작은도서관,242,96,있다,2,1
경남 김해시,시호미래작은도서관,99,16,있다,1,0
경남 양산시,신기주공작은도서관,60,32,있다,1,1
경남 함안군,신나는 도서관,66,20,없다,0,0
경남 진주시,신안1차 주공아파트 새마을문고,49,13,없다,0,0
경남 창원시,신월평생교육센터,119,36,있다,2,3
경남 양산시,신창비바패밀리작은도서관,138,28,있다,2,1
경남 함양군,심산문고,66,20,없다,0,0
경남 창원시,십대의문고,45,12,있다,1,4
경남 양산시,쌍용하늘작은도서관,40,12,있다,1,0
경남 함양군,썬샤인작은도서관,99,30,있다,2,1
경남 진주시,아름다운 작은도서관,53,20,있다,1,0
경남 김해시,아이러브영어도서관,60,10,있다,1,3
경남 하동군,악양 작은도서관 책보따리,142,30,있다,1,0
경남 창원시,안민고을도서관,43,16,있다,1,2
경남 창원시,안민마을도서관,131,16,있다,1,1
경남 창원시,안민청솔마을도서관,139,130,있다,1,5
경남 통영시,안정작은도서관,100,40,있다,1,0
경남 합천군,야로교회문고,48,30,있다,1,0
경남 창원시,양덕1동 새마을문고,36,7,있다,1,0
경남 창원시,양덕2동 새마을문고,90,20,있다,1,0
경남 양산시,양산종합사회복지관행복한도서실,45,24,있다,1,0
경남 양산시,양산타워작은도서관,320,100,있다,1,0
경남 양산시,에버빌작은도서관,72,30,있다,1,0
경남 함양군,여울목의탄문고,33,6,없다,0,0
경남 진주시,연세 작은도서관,52,18,없다,0,0
경남 창녕군,영산새마을문고,386,10,있다,1,0
경남 하동군,옥종 새마을문고,139,30,있다,1,1
경남 거제시,옥포작은도서관,219,15,있다,3,6
경남 진주시,온새미로도서관,79,25,있다,1,0
경남 창원시,옹달샘문고,52,24,있다,1,4
경남 양산시,옹달샘작은도서관,77,30,있다,1,1
경남 사천시,용강주공 느티나무 작은도서관,79,24,있다,1,0
경남 통영시,용남면새마을작은도서관,132,45,있다,1,0
경남 창원시,용잠마을도서관,227,20,있다,2,2
경남 창원시,용지평생교육센터,257,47,있다,2,4
경남 양산시,우남작은도서관,206,53,있다,1,0
경남 창원시,우리동네도서관,53,20,있다,1,0
경남 양산시,우리동네작은도서관,66,11,있다,1,0
경남 진주시,우리마을도서관,89,10,있다,1,1
경남 김해시,우리작은도서관,115,17,있다,1,1
경남 통영시,우리행복한도서관,132,14,없다,0,0
경남 양산시,우미마을작은도서관,83,20,있다,1,1
경남 창원시,우성아파트새마을문고,60,10,있다,2,0
경남 창원시,웅남평생교육센터,150,15,있다,2,6
경남 양산시,웅상종합사회복지관 꿈마루작은도서관,51,18,없다,0,0
경남 양산시,웅상푸르지오작은도서관,132,36,있다,1,0
경남 김해시,월산주공작은도서관,118,30,있다,2,1
경남 김해시,율상마을푸르지오작은도서관,46,10,있다,2,0
경남 김해시,율하e편한작은도서관,125,17,있다,1,1
경남 남해군,은모래작은도서관,33,10,있다,1,0
경남 의령군,의령덕암교회문고,83,20,없다,0,0
경남 창원시,의창평생교육센터,369,35,있다,2,6
경남 창원시,이미지작은도서관,108,30,있다,1,1
