지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
경남 김해시,미래티움도서관,700,4700,1,3
경남 통영시,미수동새마을작은도서관,409,7728,0,0
경남 통영시,미수휴먼시아새마을작은도서관,1500,4000,2,2
경남 남해군,미조등대지기도서관,12,3689,0,0
경남 남해군,민들레어린이도서관,615,2115,0,0
경남 함양군,밀알공부방문고,100,2500,0,2
경남 거제시,바람의 언덕작은도서관,3000,10000,5,5
경남 양산시,반도유보라문고,500,7727,0,0
경남 창원시,반딧불이도서관,582,10446,0,0
경남 창원시,반림마을도서관,758,15000,0,10
경남 창원시,반월작은도서관,440,9770,0,0
경남 창원시,반지평생교육센터,1467,18000,72,6
경남 양산시,백년가약작은도서관,624,10181,2,4
경남 사천시,벌리주공 푸른 작은도서관,277,7225,0,0
경남 합천군,보름달 문고,300,2300,0,1
경남 의령군,보천과채마을문고,300,3000,0,1
경남 창원시,봉곡평생교육센터,911,15499,0,16
경남 창원시,봉림평생교육센터,993,15356,0,13
경남 진주시,봉안동새마을문고,0,3000,0,0
경남 창원시,봉암동작은도서관,642,6649,0,4
경남 양산시,봉우별떨기작은도서관,860,8400,2,2
경남 통영시,봉평동새마을작은도서관,176,4662,0,0
경남 창녕군,부곡새마을문고,0,1197,0,0
경남 창원시,부림희망작은도서관,0,5442,0,0
경남 통영시,북신동새마을작은도서관,211,5069,0,0
경남 하동군,북천 남포 새마을문고,250,1550,0,0
경남 김해시,분성아이파크 작은도서관,1249,6813,0,0
경남 김해시,불암동작은도서관,53,9247,0,4
경남 진주시,빛나는 혁신LH1단지도서관,0,1415,0,0
경남 의령군,사랑방문고,120,1000,1,3
경남 창원시,사림평생교육센터,200,15252,0,10
경남 진주시,사봉글사랑,40,1350,0,2
경남 사천시,사천함께하는 다문화도서관,2900,4100,2,5
경남 창원시,사파동성마을도서관,582,14531,2,6
경남 창원시,사파평생교육센터),609,15245,0,6
경남 밀양시,산외면 문고,0,1250,0,0
경남 산청군,산청읍 새마을문고,17,1520,0,0
경남 합천군,삼가장터3.1광장도서관,300,3300,0,0
경남 김해시,삼계로얄작은도서관,565,8385,1,2
경남 김해시,삼계푸르지오작은도서관,0,9584,0,0
경남 양산시,삼성한마음작은도서관,740,6261,0,2
경남 창원시,삼익아파트마을도서관,1200,4500,1,1
경남 사천시,삼한노인대학 작은도서관,377,4901,0,0
경남 창원시,상곡 어울림 작은 도서관,792,7642,0,8
경남 창원시,상남평생교육센터,342,13038,0,7
경남 진주시,상대1동 새마을문고 현대분소,0,3000,0,0
경남 진주시,상대1동 열린 작은도서관,500,2000,0,0
경남 진주시,상대2동새마을문고,300,4200,0,0
경남 진주시,상대한보 아파트 작은도서관,0,1000,0,0
경남 합천군,상록농촌문화도서관,0,1000,0,0
경남 진주시,상봉동 봉원 새마을 문고,191,2500,0,0
경남 진주시,상봉동동2 새마을문고,0,4500,0,0
경남 진주시,상봉동새마을작은도서관,0,4500,0,0
경남 진주시,상봉봉동자율방범대 새마을문고,0,2000,0,0
경남 진주시,상평동 새마을작은도서관,130,4500,0,0
경남 진주시,상평동일스위트혜윰문고,382,4500,0,0
경남 함안군,새마을문고 동신아파트 작은도서관,113,1474,0,0
경남 거제시,새마을문고 작은도서관,300,5000,0,0
경남 창녕군,새마을문고 작은도서관,0,1020,0,0
경남 의령군,새마을문고센터,100,4200,2,5
경남 남해군,새마을문고현대아파트도서관,300,1920,0,0
경남 거창군,새마을시범문고,0,5500,0,0
경남 창원시,새순어린이도서관,150,8748,1,1
경남 통영시,새싹작은도서관,0,1300,0,0
경남 통영시,새통영작은도서관,0,1500,0,0
경남 합천군,샛별도서관,350,7000,2,2
경남 사천시,생각을 키우는 작은 도서관,395,5000,0,1
경남 김해시,생각이크는작은도서관,306,6206,0,0
경남 산청군,생초면 새마을문고,18,1050,0,0
경남 함양군,서하면새마을문고,300,2300,0,0
경남 김해시,석봉마을작은도서관,255,5600,1,5
경남 창원시,석전2동 새마을문고,1265,8599,5,20
경남 산청군,선비마을 작은도서관 ,110,5649,0,0
경남 함안군,성내 그루터기 작은도서관,400,3000,0,2
경남 창녕군,성산면 새마을문고,0,1050,0,0
경남 거제시,성은 작은도서관,0,1002,0,0
경남 창원시,성주마을도서관,693,20574,15,8
경남 창원시,소계평생교육센터,666,14489,0,5
경남 김해시,소리작은도서관,602,5779,10,17
경남 양산시,소주동작은도서관,623,2084,0,0
경남 사천시,송보작은도서관,530,7000,0,0
경남 함양군,수동면새마을문고,40,1200,1,1
경남 함안군,수림 작은도서관,700,4250,0,1
경남 창원시,숲속마을도서관,1146,12188,0,5
경남 남해군,숲속작은도서관,50,1700,0,0
경남 사천시,시민문화센터 작은도서관,741,8712,4,5
경남 김해시,시호미래작은도서관,568,7800,11,13
경남 양산시,신기주공작은도서관,651,9415,0,2
경남 함안군,신나는 도서관,300,2800,0,2
경남 진주시,신안1차 주공아파트 새마을문고,0,2000,0,0
경남 창원시,신월평생교육센터,521,14405,4,9
경남 양산시,신창비바패밀리작은도서관,1023,11841,6,6
경남 함양군,심산문고,0,1000,0,0
경남 창원시,십대의문고,700,3000,0,0
경남 양산시,쌍용하늘작은도서관,572,8096,2,5
경남 함양군,썬샤인작은도서관,300,1800,0,0
경남 진주시,아름다운 작은도서관,141,2000,0,0
경남 김해시,아이러브영어도서관,0,2000,1,1
경남 하동군,악양 작은도서관 책보따리,100,10200,0,2
경남 창원시,안민고을도서관,100,7000,0,4
경남 창원시,안민마을도서관,527,11383,8,16
경남 창원시,안민청솔마을도서관,600,13750,6,6
경남 통영시,안정작은도서관,2112,2112,0,0
경남 합천군,야로교회문고,100,2500,10,2
경남 창원시,양덕1동 새마을문고,821,6336,0,0
경남 창원시,양덕2동 새마을문고,568,9063,0,0
경남 양산시,양산종합사회복지관행복한도서실,420,2199,0,0
경남 양산시,양산타워작은도서관,251,2470,0,4
경남 양산시,에버빌작은도서관,824,6100,2,3
경남 함양군,여울목의탄문고,200,2500,1,1
경남 진주시,연세 작은도서관,0,1000,0,0
경남 창녕군,영산새마을문고,1627,4589,0,0
경남 하동군,옥종 새마을문고,100,4500,0,0
경남 거제시,옥포작은도서관,1433,33529,0,15
경남 진주시,온새미로도서관,500,4000,0,0
경남 창원시,옹달샘문고,325,3439,0,0
경남 양산시,옹달샘작은도서관,500,5014,3,5
경남 사천시,용강주공 느티나무 작은도서관,500,3500,0,3
경남 통영시,용남면새마을작은도서관,650,8289,0,1
경남 창원시,용잠마을도서관,716,11925,4,4
경남 창원시,용지평생교육센터,596,16664,0,7
경남 양산시,우남작은도서관,1072,9702,0,0
경남 창원시,우리동네도서관,70,3000,1,5
경남 양산시,우리동네작은도서관,300,2800,3,3
경남 진주시,우리마을도서관,300,2000,0,0
경남 김해시,우리작은도서관,244,8072,0,1
경남 통영시,우리행복한도서관,0,1450,0,0
경남 양산시,우미마을작은도서관,2402,2402,0,0
경남 창원시,우성아파트새마을문고,500,6600,0,0
경남 창원시,웅남평생교육센터,850,20451,2,8
경남 양산시,웅상종합사회복지관 꿈마루작은도서관,0,3232,20,0
경남 양산시,웅상푸르지오작은도서관,1090,8580,2,2
경남 김해시,월산주공작은도서관,469,11888,0,0
경남 김해시,율상마을푸르지오작은도서관,167,4454,1,1
경남 김해시,율하e편한작은도서관,1080,4648,0,0
경남 남해군,은모래작은도서관,100,1600,0,0
경남 의령군,의령덕암교회문고,70,2000,1,1
경남 창원시,의창평생교육센터,1488,14765,0,8
경남 창원시,이미지작은도서관,1154,16181,92,9
경남 김해시,이안나누리작은도서관,932,6126,0,3
경남 사천시,이안애작은도서관,1870,2081,0,0
경남 양산시,이편한 작은 도서관,869,7640,1,2
경남 진주시,이현동 웰가아파트 새마을문고,83,7209,1,3
경남 김해시,일동미라주아파트작은도서관,1000,1000,0,0
경남 김해시,일동한신꿈나무작은도서관,77,5052,0,0
경남 창원시,일신숲속마을작은도서관,300,6203,0,0
경남 창원시,자산마을문고,100,2700,1,3
경남 창원시,자여마을도서관,864,13037,4,4
경남 진주시,자이새마을작은도서관,3200,3200,0,0
경남 진주시,작은 영어도서관,0,1500,0,0
경남 창원시,작은숲영어도서관,500,2500,2,2
경남 창녕군,장마새마을문고,0,1028,0,0
경남 김해시,장유대우작은도서관,420,14287,1,3
경남 하동군,적량(죽치)새마을문고,50,2150,0,0
경남 합천군,적중문고,100,2500,4,4
경남 통영시,정량동새마을작은도서관,517,1747,0,0
경남 진주시,정촌면 새마을문고(정촌글샘),400,8150,0,2
경남 진주시,제자교회부설 예닮작은도사관,150,1850,0,0
경남 김해시,젤미작은도서관,798,11753,0,5
경남 진주시,주약현대마을도서관 다락,191,3656,0,1
경남 김해시,주촌디딤돌작은도서관,366,5500,0,4
경남 통영시,중앙동새마을작은도서관,180,1100,0,0
경남 진주시,중앙성결문고,50,1600,0,6
경남 진주시,중앙어린이도서관,0,2000,0,0
경남 창원시,중앙평생교육센터,805,15980,14,20
경남 하동군,중일 새마을문고,50,2300,0,0
경남 김해시,중흥샘이깊은작은도서관,687,3124,3,3
경남 함양군,지리산(군부대) 새마을문고,200,1240,0,0
경남 하동군,지리산반달작은도서관 ,597,5746,0,0
경남 함양군,지리산한울문고,0,2000,0,0
경남 창녕군,지산각(창녕고등학교 도서관),516,9717,4,4
경남 통영시,지식충전소,711,5790,0,0
경남 창녕군,지혜누리(계창우리학교마을도서관),1135,10351,1,5
경남 김해시,진례작은도서관,351,9912,0,0
경남 사천시,진사주공작은도서관,3,7296,0,0
경남 김해시,진영소망작은도서관,1000,5000,0,0
경남 진주시,진주YWCA다문화작은도사관 단비,245,2000,0,0
경남 진주시,진주여성회부설 달팽이어린이 도서관,739,12389,3,3
경남 창원시,진해 자은3주공아파트문고,0,2000,0,0
경남 창원시,진해그루터기문고,1000,13000,0,0
경남 진주시,집현면 새마을문고,119,6541,0,0
경남 진주시,착한마음도서관,350,7300,0,1
경남 진주시,참좋은작은도서관,360,2719,20,20
경남 창원시,창원다문화어린이도서관,1000,14000,0,5
경남 창원시,창원시아이세상장난감도서관,1400,10205,3,26
경남 김해시,책고래작은도서관,1195,9529,0,4
경남 사천시,책놀이터어린이작은도서관,390,10913,2,2
경남 의령군,책동이마을문고,150,2250,0,0
경남 사천시,책마루도서관,200,6600,0,0
경남 고성군,책사랑작은도서관,800,10800,0,5
경남 창원시,책사랑회내서마을도서관,2013,20442,29,29
경남 진주시,책읽는푸른마을도서관,239,5915,0,4
경남 창원시,천주평생교육센터,1235,13784,0,8
경남 양산시,청어람아파트새마을문고,540,13379,2,6
경남 하동군,청학 작은도서관,200,1200,0,1
경남 하동군,청학골새마을도서관,300,2100,0,1
경남 밀양시,초동작은도서관,500,2971,4,4
경남 진주시,초록에뜰 작은도서관,1500,3800,1,2
경남 진주시,초전 해모로 루비채 2단지 북카페,0,1010,0,0
경남 진주시,초전푸르지오1단지작은도서관,480,8214,0,0
경남 함안군,칠원대동 새마을문고,200,3700,0,0
경남 김해시,캐슬작은도서관,160,7078,0,6
경남 양산시,코아루작은도서관,1270,9180,2,2
경남 사천시,큰꿈 작은도서관,900,2900,31,28
경남 합천군,토끼와거북이리더십도서관,75,4000,4,6
경남 통영시,통영시민교회 작은도서관,2327,2327,0,0
경남 창원시,트리비앙도서관,121,11223,0,8
경남 창원시,팔룡평생교육센터,645,11189,0,13
경남 김해시,팔판작은도서관,359,7475,1,4
경남 진주시,평거동 새마을 작은도서관,397,8200,0,0
경남 진주시,평거휴먼시아3단지글샘누리,158,4459,0,0
경남 사천시,평생학습센터 작은도서관,41,4530,0,0
경남 진주시,푸르미작은도서관,397,9820,0,2
경남 통영시,푸르지오1차새마을작은도서관,223,2997,0,0
경남 거제시,푸른숲 작은도서관,842,15363,1,9
경남 김해시,푸른숲작은도서관,0,4000,0,2
경남 진주시,핑크드림도서관,861,5105,1,1
경남 함안군,하늘꿈 작은 도서관,200,1700,0,0
경남 김해시,하늘빛작은도서관,149,8304,3,3
경남 진주시,하늘소작은도서관,0,2000,0,0
경남 창원시,하늘채문화의집작은도서관,1139,14987,4,8
경남 진주시,하대1동 새마을문고,100,3450,0,0
경남 함양군,학동새마을문고,120,1200,0,0
경남 김해시,한국작은도서관,367,8146,0,0
경남 김해시,한길솔로몬작은도서관,0,2500,0,2
경남 양산시,한내들작은도서관,1248,6315,3,2
경남 창원시,한림리츠빌새마을문고,869,6474,0,0
경남 창원시,한빛어린이도서관,910,8010,0,6
경남 김해시,한신책사랑작은도서관,250,5981,0,2
경남 진주시,한우리 독서문화원,0,1200,0,0
경남 양산시,한일양지뜸작은도서관,968,7109,4,6
경남 사천시,한주빌라트 늘푸른작은도서관,300,8000,1,3
경남 함안군,함안군새마을작은도서관,200,2200,0,0
경남 함안군,함안주공새마을작은도서관,100,4100,1,3
경남 함양군,함양경찰서 새마을문고,420,1603,1,1
경남 창원시,합성 가고파 작은도서관,616,7370,3,4
경남 창원시,합성2동 새마을문고,535,7100,0,0
경남 합천군,합천군새마을문고센터,108,3000,0,0
경남 의령군,햇살문고,200,4200,7,10
경남 산청군,행복미소작은도서관,403,8886,1,1
경남 진주시,행복소리 작은도서관,1150,1150,0,0
경남 합천군,행복한 아이터,330,2650,0,0
경남 김해시,행복한작은도서관,0,3500,1,6
경남 합천군,향파새마을문고,527,4974,0,0
경남 사천시,현대 작은도서관,748,3535,1,1
경남 창원시,호계영어도서관,250,1300,2,2
경남 하동군,화개 삼신 새마을문고,50,1800,0,0
경남 양산시,화성파크드림작은도서관,135,4136,0,5
경남 김해시,활천행복작은도서관,225,4274,3,3
경남 산청군,황금수레,130,1260,1,1
경남 양산시,황전새마을문고,700,9000,2,3
경남 창원시,회성동새마을문고,550,6189,0,0
경남 창원시,회원1동새마을문고 ,450,4400,24,10
경남 사천시,훼미리작은도서관,540,5075,0,1
경남 진주시,휴먼빌 꿈꾸는 도서관,0,5021,0,0
경남 양산시,휴먼빌둥지작은도서관,442,7417,2,3
경남 함양군,휴먼시아새마을문고,1200,2720,0,0
경남 하동군,희망 작은도서관,300,2865,0,0
경남 창녕군,희망나무도서관,60,2318,0,0
경남 합천군,희망문고,464,5580,2,5
경남 남해군,희망키움 새마을문고,80,3280,0,0
경북 칠곡군,2주공 새마을작은도서관,400,3000,3,3
경북 칠곡군,3주공작은도서관,200,3000,0,1
경북 칠곡군,4주공새마을작은도서관,255,1939,0,0
경북 구미시,e.편한 새마을문고,1685,10745,0,0
경북 구미시,가시골 새마을문고,200,6632,0,0
경북 영주시,가흥2동작은도서관,485,5210,0,0
경북 구미시,강변새마을문고,250,6000,0,0
경북 청송군,객주 소설도서관,4559,4559,0,0
경북 경산시,경동북문고,20,1000,0,0
경북 경산시,계양작은도서관,500,4500,0,0
경북 김천시,고래실 작은도서관,699,9789,0,8
경북 고령군,고령새마을문고,0,2500,0,0
경북 경주시,고맙습니다해송작은도서관,416,9303,2,13
경북 칠곡군,공원새마을작은도서관,300,15000,7,14
경북 포항시,구룡포 작은도서관,186,2100,0,0
경북 포항시,구룡포읍 미르아라작은도서관,496,5154,0,0
경북 포항시,구룡포읍민도서관,0,9000,0,0
경북 군위군,군위군 새마을문고,300,6300,0,0
경북 울진군,근남 작은도서관,636,4186,0,0
경북 영주시,글마루,0,3357,0,0
경북 구미시,글마루 새마을문고,150,5900,2,2
경북 고령군,금류새마을문고,0,5000,0,0
경북 의성군,금성문고,0,1000,0,0
경북 칠곡군,금암새마을작은도서관,100,2300,1,4
경북 영천시,금창작은도서관,0,1000,0,0
경북 영덕군,금호작은도서관,400,4200,0,0
경북 포항시,기계면 버드내작은도서관,502,7200,0,0
경북 울진군,기성작은도서관,509,4316,4,4
경북 김천시,김산고을 작은도서관,890,13440,0,8
경북 김천시,김천제일문고,100,3000,0,0
경북 성주군,꿈과 쉼터,500,4000,0,0
경북 김천시,꿈앤들 작은도서관,716,8872,0,8
경북 고령군,꿈을 실은 도서관,0,1400,0,0
경북 문경시,꿈을키우는문고,330,2800,2,5
경북 칠곡군,남광새마을작은도서관,120,3000,0,0
경북 봉화군,내일학교도서관,300,4200,0,0
경북 포항시,농어촌두란노도서관,0,3500,0,0
경북 영천시,늘푸른쉼터(아동도서실),199,7657,0,2
경북 구미시,다봉새마을문고,300,6300,0,0
경북 의성군,다인문고,100,8690,0,0
경북 영천시,단포작은도서관,188,9417,0,1
경북 김천시,달봉산 작은도서관,715,11232,0,8
경북 칠곡군,대동다숲새마을작은도서관,586,6252,0,0
경북 포항시,대명 작은도서관,935,3500,0,0
경북 포항시,대송면 큰솔작은도서관,834,9278,0,0
경북 칠곡군,대화새마을작은도서관,150,5000,0,0
경북 포항시,대흥좋은나무도서관,893,3100,0,0
경북 영천시,덕암문고,0,3000,0,0
경북 경산시,도담도담작은도서관,3323,11043,0,12
경북 칠곡군,동명작은도서관,2525,2525,10,10
경북 문경시,동성마을문고,276,6757,0,0
경북 포항시,동해사랑 작은도서관,0,1200,0,0
경북 칠곡군,두성새마을작은도서관,100,2600,0,0
경북 포항시,두호동 두무치작은도서관,413,9082,0,0
경북 포항시,두호동 책이랑바다랑,370,3570,0,0
경북 구미시,등대작은도서관,100,4000,12,500
경북 구미시,뜨란채새마을문고,496,6779,0,0
경북 의성군,르네상스문흥작은도서관,0,8000,0,5
경북 안동시,마뜰작은도서관,480,2938,0,0
경북 영천시,망정작은도서관,182,6055,0,1
경북 칠곡군,매원새마을작은도서관,250,5100,0,5
경북 안동시,먼달작은도서관,954,7815,5,5
경북 영천시,무지개 작은 영어도서관,200,1550,0,0
경북 영천시,문내행복도서관,100,2718,0,0
경북 봉화군,물야면새마을문고,50,2099,0,0
경북 봉화군,법전면새마을문고,0,2100,0,0
경북 영천시,별빛문고,100,3000,0,0
경북 영천시,별빛작은도서관,0,1670,0,0
경북 김천시,보랏빛꿈 작은도서관,734,11477,0,8
경북 의성군,복사골 작은도서관,140,1340,0,2
경북 봉화군,봉성면새마을문고,50,1279,0,0
경북 봉화군,봉화읍새마을문고,200,2767,0,0
경북 칠곡군,부영새마을 작은도서관,300,4896,1,1
경북 포항시,부조 작은도서관,56,9190,0,0
경북 칠곡군,북삼삼주새마을작은도서관,200,4200,3,5
경북 칠곡군,북삼새마을작은도서관,800,8000,5,19
경북 칠곡군,북삼현대새마을작은도서관,386,5454,0,0
경북 영천시,북안 버들숲 작은도서관,100,5600,0,0
경북 포항시,브니엘 영어도서관,0,1500,0,0
경북 경산시,사랑이 꽃피는 작은 도서관,200,5000,0,0
경북 구미시,삼구트리니엔새마을작은도서관,100,5581,0,0
경북 김천시,삼산이수 작은도서관,670,11398,0,8
경북 칠곡군,삼성새마을작은도서관,0,6640,0,0
경북 칠곡군,삼청새마을작은도서관,200,4000,1,6
경북 포항시,상대동 큰섬마을작은도서관,41,6912,0,0
경북 봉화군,상운면새마을문고,20,2724,0,0
경북 의성군,새마을문고센터,251,9854,0,0
경북 포항시,새벽이슬 작은도서관,117,1500,0,0
경북 군위군,생각마루도서관,300,10300,0,0
경북 영천시,서부동 작은도서관,100,2500,0,0
경북 성주군,성주읍새마을문고,400,4000,1,1
경북 구미시,소나무새마을문고,768,7873,0,0
경북 구미시,소롯골 새마을문고,491,8100,1,0
경북 포항시,송도동 솔향작은도서관,558,6267,0,0
경북 영양군,수비면작은도서관,250,2067,1,3
경북 고령군,숲속의옹달샘도서관,100,5500,0,0
경북 포항시,신광면 비학산작은도서관,1259,6971,0,0
경북 구미시,신나리새마을문고,150,3010,0,0
경북 경산시,아가페문고,714,5809,0,4
경북 구미시,아너스새마을문고,100,4000,0,0
경북 경산시,아름드리도서관,0,2000,0,0
경북 안동시,안동 옥동7주공 마을문고,638,5510,0,0
경북 칠곡군,약목삼주새마을작은도서관,300,8000,0,10
경북 칠곡군,약목새마을작은도서관,30,28000,1,1
경북 경주시,양남 꿈마루 작은도서관,222,5871,2,13
경북 경주시,양북 꿈마루 작은도서관,368,4259,2,13
경북 포항시,양학동 부학작은도서관,206,11062,0,0
경북 칠곡군,어울림새마을작은도서관,124,3575,0,0
경북 구미시,에덴문고,360,3350,2,7
경북 포항시,연일읍 미르작은도서관,306,8976,0,0
경북 포항시,연일읍 해돋이작은도서관,594,3900,0,0
경북 영주시,영주상망작은도서관,835,7524,0,0
경북 영주시,영주새마을문고,1060,12410,0,0
경북 영주시,영주휴천작은도서관,489,7250,0,0
경북 구미시,예강문고,80,5100,1,1
경북 영덕군,예주작은도서관,300,15300,0,0
경북 예천군,예천군새마을도서관,169,5669,0,0
경북 칠곡군,오성새마을작은도서관,0,5000,0,0
경북 포항시,오천읍 그루터기작은도서관,329,7526,0,0
경북 포항시,오천읍 해와달작은도서관,453,7759,0,0
경북 안동시,옥동삼성1차새마을문고,91,4497,0,0
경북 울진군,온정작은도서관,540,3924,4,4
경북 포항시,용흥동 솔개재작은도서관,806,4039,0,0
경북 구미시,우림필유새마을문고,529,5474,0,0
경북 포항시,우방비치타운 도서실,0,3000,0,0
경북 구미시,우방신세계문고,250,9145,0,0
경북 칠곡군,우방신천지새마을작은도서관,300,15000,0,0
경북 울진군,울진작은도서관,908,4998,2,9
경북 울진군,원남작은도서관,635,3802,0,0
경북 구미시,원평으뜸 작은도서관,292,4908,0,3
경북 구미시,원호 대우 새마을 문고,322,7499,0,0
경북 구미시,원호푸르지오새마을문고,341,3363,0,2
경북 포항시,유강영어도서관,2500,4000,0,0
경북 경산시,은혜로도서관,480,4958,0,2
경북 포항시,이팝문고,0,1500,0,0
경북 김천시,일터누리 작은도서관,427,6941,0,8
경북 김천시,자두꽃 작은도서관,771,9449,0,8
경북 포항시,장량동 꿈마루 작은도서관,2265,2265,0,0
경북 포항시,장량동 다솜작은도서관,672,4761,0,0
경북 포항시,장량동 참사랑작은도서관,464,7361,0,0
경북 포항시,장량동 해뜰참 작은도서관,722,3477,0,0
경북 포항시,장량동 햇살작은도서관,702,6594,0,0
경북 구미시,장원새마을문고,30,2500,0,0
경북 봉화군,재산작은도서관,200,1400,0,0
경북 의성군,재활용센터문고,198,3574,0,0
경북 구미시,점보 새마을작은도서관,128,5625,3,3
경북 안동시,정하동화성드림파크작은도서관,80,4569,0,0
경북 포항시,죽도동 맑은물작은도서관,488,3631,0,0
경북 포항시,죽도동 청암작은도서관,552,7947,0,0
경북 포항시,죽장면 선바위작은도서관,393,7710,0,0
경북 포항시,죽장면 참느리 작은도서관,656,2475,0,0
경북 칠곡군,지천면새마을문고 작은도서관,0,2000,0,0
경북 경산시,진량작은도서관,3281,14804,1,13
경북 경산시,징검다리작은도서관,315,4700,0,0
경북 영천시,창신푸른문고(푸른마을문고),439,6939,0,0
경북 포항시,창포종합사회복지관 작은도서관,115,2200,0,0
경북 경산시,책나무작은도서관,200,8000,1,1
경북 성주군,천지빛깔,150,3500,0,3
경북 청송군,청경 작은 도서관,645,8637,0,5
경북 청도군,청도작은도서관,228,8032,0,0
경북 포항시,청림동 찬내작은도서관,573,5724,0,0
경북 포항시,청림동 푸른숲작은도서관,401,7082,0,0
경북 구미시,청마루문고,400,6500,0,0
경북 예천군,청소년수련관내작은도서관,195,8553,0,0
경북 청송군,청솔 작은도서관,1158,20798,5,5
경북 예천군,청운도서관,1137,2337,0,0
경북 포항시,청하면 해아작은도서관,707,4309,0,0
경북 봉화군,춘양면새마을문고,0,3711,0,0
경북 김천시,큰숲 작은도서관,719,8768,0,8
경북 구미시,파라디아작은도서관,3812,3812,0,0
경북 구미시,파크 새마을작은도서관,400,2500,1,1
경북 울진군,평해작은도서관,419,3650,0,0
경북 포항시,포항가은문고,0,1000,0,0
경북 포항시,포항중앙도서관,0,26000,0,0
경북 김천시,푸름찬 작은도서관,762,11468,0,8
경북 예천군,풍양면 새마을문고,0,5800,0,0
경북 포항시,하늘빛 마을문고,200,5700,0,0
경북 영천시,하늘소망문고,0,3000,0,0
경북 안동시,하늘씨앗어린이도서관,567,30792,2,15
경북 구미시,하늘채 새마을 문고,215,6728,0,0
경북 구미시,한누리새마을문고,110,5100,2,5
경북 구미시,한빛새마을문고,100,5139,0,0
경북 칠곡군,한빛새마을작은도서관,1002,12625,1,3
경북 영주시,한성문고,150,2430,0,0
경북 칠곡군,한솔솔파크새마을작은도서관,2000,4000,0,0
경북 영주시,한우리독서논술중앙지부,15,2345,0,0
경북 영주시,한우리독서문화운동영주지부,25,2458,0,0
경북 김천시,함께하는도서관,280,1950,0,2
경북 상주시,함창읍작은도서관,561,6169,0,0
경북 포항시,해도동 바다섬작은도서관,358,6310,0,0
경북 영덕군,해맑은작은도서관,0,1100,0,0
경북 구미시,해평누리작은도서관,498,3648,0,3
경북 경산시,헤세드문고,500,1700,4,4
경북 경주시,현곡 꿈마루 작은도서관,98,2762,0,14
경북 청송군,현서면 작은도서관,131,2350,0,0
경북 칠곡군,혜원성모병원새마을작은도서관,171,1621,0,0
경북 칠곡군,화성파크새마을작은도서관,293,3000,1,3
경북 포항시,환여 해맞이꿈터도서관,1085,7236,0,0
경북 포항시,환여동 환호어린이작은도서관,649,6292,0,0
경북 포항시,효곡동 열린작은도서관,486,4605,0,24
경북 포항시,효곡동 행복작은도서관,4378,9878,0,24
경북 포항시,효곡동그린숲작은도서관,1312,7112,0,12
경북 구미시,휴먼시아새마을문고,100,3000,0,0
경북 칠곡군,휴먼시아새마을작은도서관,100,1200,0,0
경북 영주시,휴천1동작은도서관,0,1520,0,0
경북 포항시,흥해읍 내맏이작은도서관,829,3172,0,0
경북 포항시,흥해읍 어리골작은도서관,885,3291,0,0
경북 포항시,흥해읍 이팝작은도서관,675,9595,0,0
경북 포항시,흥해읍 참새미 작은도서관,2330,2330,0,0
경북 문경시,흰종검글 마을도서관,284,9188,1,6
광주 남구,5.18민주인권작은도서관,200,1200,0,5
광주 남구,5단지솔빛작은도서관,0,3365,0,0
광주 북구,CUM역사도서관,1000,1000,8,10
광주 북구,ESR작은도서관,414,4414,1,2
광주 광산구,RIVER,169,1193,0,0
광주 북구,가람문고,500,1500,0,0
광주 북구,각화문고,55,1700,0,2
광주 북구,강변문고,138,1318,0,0
광주 서구,강아지똥어린이도서관,1000,5421,5,5
광주 북구,개똥벌레어린이도서관,110,3200,1,2
광주 광산구,거성북카페,300,4000,0,0
광주 남구,건강보험zone작은도서관,0,2800,0,0
광주 서구,건강한 도서관,371,10000,0,1
광주 북구,건국작은도서관,407,2487,0,3
광주 동구,계림두산위브작은도서관,0,1500,0,0
광주 서구,고맙습니다 아리솔작은도서관,880,6880,2,2
광주 북구,고맙습니다.두암3동 작은도서관,2397,8512,2,2
광주 광산구,광산문고,0,2500,0,0
광주 서구,광주광역시청소년문화의집미소책방,129,7897,2,2
광주 광산구,광주세계다문화,50,1500,1,1
광주 북구,광주아름다운작은도서관,800,12000,0,0
광주 광산구,광주유통센터,0,3600,0,0
광주 서구,광주제일교회 도서관,250,11000,2,2
광주 서구,광주천 사계 작은도서관,145,3000,0,0
광주 서구,광천사랑숲 작은도서관,2300,7800,0,0
광주 동구,교육원도서관,100,1300,1,2
광주 광산구,구름다리작은도서관,1150,5327,0,0
광주 북구,그리심작은도서관,300,4000,2,2
광주 서구,글마루 작은도서관,50,1000,1,1
광주 광산구,글마루작은도서관,456,6700,0,0
광주 남구,금당작은도서관,1210,1210,0,0
광주 서구,금호2동 작은도서관,640,9354,0,0
광주 서구,금호대우아파트 작은도서관,10,2000,2,2
광주 남구,기린작은도서관,300,5000,0,7
광주 북구,기쁘고 즐거운 도서관,500,1500,0,0
광주 서구,기아꿈터어린이도서관,400,5500,1,2
광주 광산구,길북,30,5000,0,0
광주 서구,꾸니꾸니 꿈꾸는 작은도서관,200,3200,1,3
광주 서구,꿈 일굼터 도서관,192,4337,0,0
광주 광산구,꿈꾸는 도서관,600,2000,0,0
광주 북구,꿈꾸는 아이들,100,2000,1,1
