지역,도서관명,연간 증가 장서 수,총 보유 장서 수,연간 증가 연속간행물 수,현재 총 보유 연속간행물 수
강원 원주시,원주YMCA아름드리도서관,300,4500,0,0
강원 원주시,원주단관영어도서관,0,6000,0,0
강원 강릉시,월대산작은도서관,7306,7306,3,3
강원 원주시,은혜어린이도서관,322,3500,0,0
강원 동해시,이도작은도서관,0,10578,0,5
강원 태백시,작은도서관 꿈,0,7000,0,0
강원 춘천시,작은도서관별찌(2012년개관),532,2600,0,0
강원 태백시,장성문고,0,5150,0,0
강원 정선군,정선꿈꾸는도서관,850,3450,2,25
강원 고성군,죽왕문고,166,3666,0,0
강원 홍천군,진리도서관,1100,5000,2,4
강원 원주시,참꽃작은도서관,292,2500,2,0
강원 춘천시,책날개어린이도서관,300,3000,0,0
강원 춘천시,책드림도서관,384,5465,0,2
강원 동해시,천곡동 새마을문고,0,3000,0,10
강원 양양군,천복작은도서관,200,2000,1,0
강원 고성군,천진문고,208,4500,1,1
강원 태백시,철암도서관,1500,15000,0,0
강원 원주시,청소년 문고,0,1200,0,0
강원 횡성군,청일면 버들골작은도서관,564,5797,2,2
강원 강릉시,초당작은도서관,8846,8846,3,3
강원 동해시,초록도서관,0,6000,0,3
강원 춘천시,춘천YMCA푸름이도서관,728,6778,7,7
강원 원주시,큰사랑문고,300,4000,0,0
강원 정선군,탄광촌 생명의 양식문고,115,1115,3,3
강원 태백시,태백 인표어린이도서관,0,6000,0,0
강원 원주시,태장도서관,2926,19747,0,16
강원 강릉시,포남어울림작은도서관,1325,11613,0,5
강원 원주시,푸른초장 작은도관,0,3000,0,0
강원 화천군,하남옹달샘작은도서관,500,5000,3,3
강원 홍천군,하늘마루 작은도서관,1000,2000,2,3
강원 강릉시,하슬라작은도서관,166,8113,0,3
강원 태백시,한빛사랑문고,150,1750,0,0
강원 강릉시,한송작은도서관,261,6388,0,0
강원 양양군,해누리글터 작은도서관,120,1300,0,0
강원 태백시,햇살 도서관,200,5000,0,0
강원 원주시,햇살작은도서관,200,4000,0,0
강원 평창군,행복한 문고,1100,4000,3,2
강원 태백시,행복한도서관,25,8025,0,0
강원 횡성군,횡성느티나무작은도서관,689,6015,0,6
강원 원주시,흥업작은도서관,0,2500,0,0
강원 홍천군,희망 숲 작은도서관,1055,1055,0,0
강원 태백시,희망의문고,1300,6000,0,0
경기 파주시,(사)행복한아침독서 책마을도서관,361,27611,0,10
경기 성남시,1318하랑작은도서관,500,3500,1,6
경기 고양시,7단지 숲속도서관,500,5858,0,0
경기 양주시,BOOK소리작은도서관,150,2100,0,0
경기 고양시,Book Tree(북트리),250,9800,2,5
경기 남양주시,ESR영어작은도서관,500,3000,0,0
경기 의정부시,HAHA Asian Library,108,5000,0,0
경기 안산시,HJ제니스작은도서관,500,1598,0,0
경기 오산시,KCC스위첸아파트 작은도서관,412,2657,0,0
경기 군포시,LG신산본자이2차아파트문고,0,1800,0,1
경기 평택시,THE기쁜어린이도서관,1530,17000,1,1
경기 양주시,TS푸른솔작은도서관,79,12140,1,3
경기 남양주시,가곡힘찬문고,171,2500,0,2
경기 의정부시,가능1동작은도서관,524,9339,0,0
경기 의정부시,가능2동작은도서관,586,11699,0,11
경기 의정부시,가능3동작은도서관,573,7980,0,3
경기 김포시,가온누리 작은도서관,0,2600,0,0
경기 성남시,가온누리작은도서관,1919,12851,2,8
경기 남양주시,가운4단지문고,100,2000,0,0
경기 남양주시,가운휴먼시아5단지 도서관,100,4240,0,0
경기 고양시,가좌대우푸르지오,836,7000,3,3
경기 화성시,갈담 작은도서관,700,4100,3,5
경기 성남시,갈보리 작은도서관,100,7931,0,5
경기 시흥시,감나무골작은도서관,308,10624,0,0
경기 남양주시,강변교회 어린이도서관,0,2500,0,0
